"","state","population","population.density","percent.under.18","percent.over.65","percent.white","percent.black","percent.bachelors","unemployment.rate","median.income","cases","deaths","state.abbr","state.fips","state.icpsr"
"1","Alabama",4903185,96.8117591107946,22.14,17.42,67.84,26.91,26.35,4.93,66171,197504,2987,"AL",1,41
"2","Alaska",731545,1.28120232283847,24.57,12.38,64.22,3.08,30.19,5.76,91971,17448,84,"AK",2,81
"3","Arizona",7278717,64.0784605379371,22.53,17.96,78.34,4.72,30.18,5.08,74468,249818,6020,"AZ",4,61
"4","Arkansas",3017804,57.9961543236328,23.16,17.37,76.71,15.49,23.34,4.82,62387,114519,2003,"AR",5,42
"5","California",39512223,253.618796210093,22.5,14.77,59.44,5.78,35,5.06,91377,945401,17745,"CA",6,71
"6","Colorado",5758736,55.5655188888943,21.82,14.68,83.74,4.18,42.66,3.67,95164,114709,2311,"CO",8,62
"7","Connecticut",3565287,736.221082401638,20.4,17.64,74.61,11.13,39.84,5.32,101272,74843,4635,"CT",9,1
"8","Delaware",973764,499.816511540488,20.94,19.47,67.75,22.53,33.2,4.63,87148,25426,712,"DE",10,11
"9","District of Columbia",705749,11544.000303877,18.12,12.4,42.52,45.44,59.67,6.26,130291,17524,647,"DC",11,55
"10","Florida",21477737,400.341334855245,19.7,20.94,74.54,16.02,30.7,4.52,71348,816700,16890,"FL",12,43
"11","Georgia",10617423,183.961880371524,23.57,14.35,57.75,31.94,32.51,4.8,74833,394526,8479,"GA",13,44
"12","Hawaii",1415872,220.457716867095,21.2,19.03,24.1,1.9,33.63,3.88,96462,15531,219,"HI",15,82
"13","Idaho",1787065,21.6233664098053,25.14,16.15,89.36,0.71,28.75,3.32,72365,67024,647,"ID",16,63
"14","Illinois",12671821,228.263571400917,22.21,16.14,71.37,14.13,35.76,4.84,87771,436265,10161,"IL",17,21
"15","Indiana",6732219,187.913543790673,23.28,16.11,82.76,9.55,26.94,4.16,73876,188066,4439,"IN",18,22
"16","Iowa",3155070,56.4877775558613,22.88,17.55,89.87,4.1,29.31,3.71,78152,134326,1780,"IA",19,31
"17","Kansas",2913314,35.6328575721264,24.04,16.41,83.65,5.74,34.02,3.75,79006,93430,1057,"KS",20,32
"18","Kentucky",4467673,113.133334377351,22.42,16.89,86.7,8.13,25.13,4.79,66183,111379,1503,"KY",21,51
"19","Louisiana",4648794,107.601249320284,23.34,15.97,61.84,32.35,24.98,5.47,65105,189148,5951,"LA",22,45
"20","Maine",1344212,43.5799867888736,18.33,21.27,93.98,1.64,33.19,3.45,76316,6925,148,"ME",23,2
"21","Maryland",6045680,622.566729649919,22.04,15.88,54.53,30.27,40.88,4.54,105679,147766,4162,"MD",24,52
"22","Massachusetts",6892503,883.513440356519,19.61,17.01,76.97,7.89,44.98,3.94,108348,161319,10033,"MA",25,3
"23","Michigan",9986857,176.437052206809,21.46,17.69,78.22,13.73,30.03,5,75703,200505,7681,"MI",26,23
"24","Minnesota",5639632,70.8270076575735,23.1,16.34,82.05,6.57,37.25,3.18,93584,157096,2553,"MN",27,33
"25","Mississippi",2976149,63.4243957916891,23.47,16.36,58.03,37.99,22.31,6.61,58503,121509,3384,"MS",28,46
"26","Missouri",6137428,89.2771276003738,22.37,17.24,81.84,11.46,30.22,3.79,73457,177703,2853,"MO",29,34
